មុជទឹក,"[muc tɨk] [[មុជ]] [[ទឹក]] <br>1). to dive in the water;<br> to take a shower or bath "
និយាយមានឆោង,"[niʔyiey mien cʰaoŋ] [[និយាយ]] [[មាន]] [[ឆោង]] <br>1). to speak at the right moment "
ឲ្យដឹងថ្វីដៃ,"[ʔaoy ------ ] [[ឲ្យ]] [[ដឹងថ្វីដៃ]] <br>1). to show one's power
រាជវ័ង,"[riec ------] [[រាជ]] [[វ័ង]] <br>1). See: រាជវាំង "
អាបោមាត្រា,"[ʔaapao mietraa] [[អាបោ]] [[មាត្រា]] <br>1). liquid measuring device
ព័ន្ធ,"[poan
ឥត្ថុម្មត្តកៈ,"[ʔettʰommattaʔkaʔ] <br>1). n crazy about women "
ផ្លែ,"[plae] <br>1a). n fruit. <br>1b). outcome
កូនក្រមុំ,"[koon krɑmum] [[កូន]] [[ក្រមុំ]] <br>1). unmarried daughter;<br> young girl;<br> bride <br>2). doll <br>3). kind of card game in which one of the players tries to guess which of three cards is the queen "
ទុកដាក់,"[------ dak] [[ជា]] [[::]] [[ទុក]] [[ដាក់]] [[ជា]] <br>1). to arrange (in a sequence)
វិធវកាល,"[viʔtʰeaʔveaʔkaal] <br>1). n widowhood "
ស្រណុក,"[srɑnok] <br>1). adj to be well off
ដាស់ស្រែ,"[dah srae] [[ដាស់]] [[ស្រែ]] <br>1). to plow a field for the first time in a growing cycle "
ល្មូន,"[lmuun] <br>1). n crawling animal;<br> reptile
នៅក្នុងចំណោម,"[nɨv knoŋ cɑmnaom] [[នៅ]] [[ក្នុងចំណោម]] <br>1). among "
លំបិន,"[lumbən] <br>1). See: លំបាកលំបិន "
ពលវសទ្ធា,"[pʊəl vɔɔ sattʰie] [[ពល]] [[វ]] [[សទ្ធា]] <br>1). fervor
ទេពនិមន្ត,"[teep niʔmʊən~mʊən] [[ទេព]] [[និមន្ត]] <br>1). one whom the gods allow to be born as a human being;<br> to be divinely born "
ឥតកំណើត,"[ʔet~ʔǝt kɑmnaət] [[ឥត]] [[កំណើត]] <br>1). born to fail;<br> of no ability / capacity / competence;<br> unfit
កុងអាន,"[koŋ ʔaan] <br>1). n police
អន្តរាយ,"[ʔɑntaʔraay] <br>1a). n disaster
លស់ចេញ,"[lɔǝh cəɲ] [[លស់]] [[ចេញ]] <br>1). See: លស់ (1) "
កំបាប,"[kɑmbaap] <br>1a). n sinner;<br> one who commits bad deeds. <br>1b). v to sin "
ញោម,"[ɲoum] <br>1). n parents / congregation (of a Buddhist monk) <br>2). pron you (used by Buddhist monk addressing his parents or laymen of his congregation) "
ត្រូវរ៉ូវ,"[trəv rəv] [[ត្រូវ]] [[រ៉ូវ]] <br>1). to get along
ឆ្អឹងប្រគាប,"[cʔəŋ prɑkiep] [[ឆ្អឹង]] [[ប្រគាប]] <br>1). ischium "
ចិត្រករ,"[------ kɑɑ] [[ចិត្រ]] [[ករ]] <br>1). artist See: ចិត្តករ "
ភមរជាតិ,"[pʰeaʔmeaʔreaʔ pʰeaʔmɔɔ ciet] [[ភមរ]] [[ជាតិ]] <br>1). Hymenoptera "
ប្រជានិករ,"[prɑcie niʔkɑɑ] [[ប្រជា]] [[និករ]] <br>1). See: ប្រជារាស្ត្រ "
ចចេញចចាញ,"[cɑcəɲ ------ ] [[ចចេញ]] [[ចចាញ]] <br>1). to depart
លោក,"[louk] <br>1a). pron you / your (used in addressing adult males who are of approximately equal rank with the speaker and Buddhist monks) ;<br> he / him / his (used in referring to adult males who are of approximately equal rank with the speaker and to Buddhist monks) ;<br> sir
ចំរើនកើន,"[cɑmraən kaən] [[ចំរើន]] [[កើន]] <br>1). to increase "
សិវរាត្រី,"[seʔvaʔ rietrəy] [[សិវៈ]] [[រាត្រី]] <br>1). peaceful / quiet night <br>2). day of celebration in honor of Shiva in India (it is held on the 14th day of the waning moon of the 4th month ( ផល្គុន ) of the lunar calendar) (Brahman) "
បសិដ្ឋកម្ម,"[paʔsəttʰaʔkam] <br>1). n amelioration
ញោស,"[ɲouh] <br>1a). adj to be exceptional
ប្រតិមាករ,"[prɑteʔmaa kɑɑ] [[ប្រតិមា]] [[ករ]] <br>1). See: បដិមាករ "
ប្រយ័ត្នក្រែង,"[prɑyat kraeŋ] [[ប្រយ័ត្ន]] [[ក្រែង]] <br>1). in case
លោង,"[louŋ] <br>1). n thigh
លើកតំកើងជីវភាពជាតិ,"[lǝǝ kɑɑ tɑmkaəŋ cii vɔɔ pʰiep ciet] [[លើក]] [[តំកើង]] [[ជីវភាព]] [[ជាតិ]] <br>1). to raise the national standard of living "
សមត្ត,"[saʔmat] <br>1). n clinometer
លោច,"[louc] <br>1). v to char
ដីល្អៀង,"[dəy lʔiǝŋ] [[ដី]] [[ល្អៀង]] <br>1). sloping ground "
សមត្ថ,"[samattʰaʔ] <br>1a). adj to be capable
យានូបករណ៍,"[yienuupaʔkɑɑ] <br>1). n spare parts / accessories (for vehicles) "
ដូចសព្វកាល,"[dooc sɑp kaal] [[ដូច]] [[សព្វ]] [[កាល]] <br>1). as usual "
បាតុភាព,"[paatoʔpʰiep] <br>1). n event / happening / phenomenon (usually bad)
សោះនឹង,"[sɑh nɨŋ] [[សោះ]] [[នឹង]] <br>1). therefore will not
ត្រស្តិ,"[trɑh] <br>1). n royal ceremony held at the end of the lunar year during the last four days of the waning moon of the month of ផល្គុន (ceremonies feature prayers
រាងពងក្រពើ,"[rieŋ pɔɔŋ krɑpəə] [[រាង]] [[ពងក្រពើ]] <br>1). oval "
ចេលកជន,"[ceelaʔkaʔcʊən] <br>1). n servant "
វិបត្តិរូបិយប័ណ្ណ,"[viʔbat~viʔpattiʔ ruupəyyeaʔ ban] [[វិបត្តិ]] [[រូបិយប័ណ្ណ]] <br>1). monetary crisis "
ក្រហមក្រមៅ,"[krɑhɑɑm krɑmav] [[ក្រហម]] [[ក្រមៅ]] <br>1). dark red "
ទ្រលឹងទឹង,"[trɔlɨŋ tɨŋ] <br>1). n kind of tree (Averrhoa Bilimbi
ហិរិ,"[heʔriʔ] <br>1). n (feeling of) shame (for doing something bad)
ទាន់,"[toan] <br>1a). v to reach
អ. ស. ប.,"[NOIPA] <br>1). abbreviation for អង្គការសហប្រជាជាតិ​ U.N. Organization "
អីសោះ,"[ʔəy sɑh] [[អី]] [[សោះ]] <br>1). at all "
ស្ទាក់អារម្មណ៍,"[steak ʔaarɑm] [[ស្ទាក់]] [[អារម្មណ៍]] <br>1). to block / interrupt a thought / train of thought "
គ្រូសូត្រស្ដាំ,"[kruu soot sdam] [[គ្រូ]] [[សូត្រ]] [[ស្ដាំ]] <br>1). first assistant to the ចៅអធិការ or abbot of a wat See: ចៅអធិការរង "
ប្រតិពន្ធ,"[prɑteʔpʊən] <br>1). n joint
លោណ,"[loun
សារប្បវត្តិ,"[saa~saaraʔ ------ ] [[សារ]] [[ប្បវត្តិ]] <br>1). pamphlet
ដាក់បង្ហែគ្នា,"[dak bɑŋhae knie] [[ដាក់]] [[បង្ហែ]] [[គ្នា]] <br>1). to put next to one another
លោត,"[lout] <br>1). v to jump
លោទ,"[lout] <br>1). n kind of tree whose leaves provide a detergent "
យំស្ងួត,"[yum sŋuǝt] [[យំ]] [[ស្ងួត]] <br>1). See: យំគោក "
អង្គុយសំយុងជើង,"[ʔɑŋkuy sɑmyoŋ cəəŋ] [[អង្គុយ]] [[សំយុង]] [[ជើង]] <br>1). to sit with the legs dangling <br>#..). to sit with the legs hanging down "
រគិបរគុប,"[rɔkɨp - rɔkup] <br>1). adj to be rough
អង្គុយបត់ជើងកង្កែប,"[ʔɑŋkuy bɑt cəəŋ kɑŋkaǝp] [[អង្គុយបត់ជើង]] [[កង្កែប]] <br>1). to sit on the knees with the front portion of the lower legs underneath and to the side See: បត់ជើងភ្លៅកង្កែប "
ជ្វាលា,"[cvie lie] <br>1a). n (tongue of) flame
សំវិធាន,"[saŋviʔtʰien] <br>1). adj to be accumulated
លោប,"[loup
អ្នកលក់ទំនិញ,"[neak lʊək tumnɨɲ] [[អ្នក]] [[លក់]] [[ទំនិញ]] <br>1). salesperson "
ខ្សឹបៗ,"[ksəp - ksəp] <br>1). adv softly "
សិទ្ធិពេញទី,"[settʰiʔ~sət pɨɲ tii] [[សិទ្ធិ]] [[ពេញទី]] <br>1). full rights "
លោភ,"[loup] <br>1a). n envy
លោម,"[loum
ជលជៈ,"[cʊəl~ceaʔleaʔ ------ ] [[ជល]] [[ជៈ]] <br>1). aquatic creatures / plants "
កំរងធ្មេញស្រុក,"[kɑmrɑɑŋ tmɨɲ srok] [[កំរង]] [[ធ្មេញ]] [[ស្រុក]] <br>1). permanent dentition "
ប្រះដៃប្រះជើង,"[prah day prah cəəŋ] [[ប្រះ]] [[ដៃ]] [[ប្រះ]] [[ជើង]] <br>1). to move one's arm and legs in bed;<br> to be restless "
ប្រកាន់ឥរិយាបថ,"[prɑkan ʔeʔreʔyaabɑt] [[ប្រកាន់]] [[ឥរិយាបថ]] <br>1). to take a (certain) position "
កន្ទេលក្រហម,"[kɑnteel krɑhɑɑm] [[កន្ទេល]] [[ក្រហម]] <br>1). special mat reserved for guests or for a ceremony "
អង្ក្រង,"[ʔɑŋkrɑɑŋ] <br>1). n kind of large red ant which is commonly found on fruit trees "
ត្រជី,"[trɑcii] <br>1). v to hide oneself "
វិបាកាវសេស,"[viʔpaakaʔviʔseeh] <br>1). n consequence which remains;<br> sin for which atonement must be made "
សម្បទានអណ្ដូងរ៉ែ,"[sampaʔtien ʔɑndooŋ rae] [[សម្បទាន]] [[អណ្ដូងរ៉ែ]] <br>1). mining concession "
សុចិតធន,"[soʔcet tʰʊən] [[សុចិត]] [[ធន]] <br>1). something that is well-cared for "
កង់ច្រវាក់,"[kaŋ crɑvak] [[កង់]] [[ច្រវាក់]] <br>1). tread (e.g. of a tank)
ធ្លែរ,"[tlɛɛl] <br>1). See: លៀនធ្លែរ See: ធ្លែល
ឧច្ចារទ្វារ,"[ʔuccaar~ʔuccaaraʔ tvie] [[ឧច្ចារ]] [[ទ្វារ]] <br>1). See: ឧច្ចារមគ្គ "
មុខអាករ,"[muk ʔaakɑɑ] [[មុខ]] [[អាករ]] <br>1). to be lucky
ធ្លែល,"<br>1). See: ធ្លែរ "
ចាបពូក,"[caap puuk] [[ចាប]] [[ពូក]] <br>1). kind of reddish-brown sparrow (Munia sinensis or M. siamensis) "
កូនទន្ទឹមស្មា,"[koon tʊətɨm smaa] [[កូន]] [[ទន្ទឹម]] [[ស្មា]] <br>1). child as big as his parents "
រ៉ុញ,"[roɲ] <br>1). adj to be small
រហស្ថាន,"[reaʔhahstʰaan] <br>1). n deserted place
កោសិយ,"[kaosəy] <br>1). n epithet of Indra "
វាចិកហារក,"[viecək haa rɔɔk] [[វាចិក]] [[ហា]] [[រក]] <br>1). messenger
អង្ក្រត,"[ʔɑŋkrɑɑt] <br>1). i sound similar to a frog's croaking "
ប្រយ័ត្នឆ្កែកាច,"[prɑyat ckae kaac] [[ប្រយ័ត្ន]] [[ឆ្កែកាច]] <br>1). beware of the dog "
ជីកកកាយ,"[ciik kɑkaay] [[ជីក]] [[កកាយ]] <br>1a). to excavate
កប៉ាល់ហោះឈ្នួល,"[kaʔpal hah cnuəl] [[កប៉ាល់ហោះ]] [[ឈ្នួល]] <br>1). commercial airplane "
ខ្ញុំព្រះករុណា,"[kɲom preah kaʔruʔnaa] [[ខ្ញុំ]] [[ព្រះករុណា]] <br>1). I / me / my (to a monk) "
ជំនង់,"[cumnʊəŋ] <br>1). n piercing / stabbing with a sharpened stick;<br> sharpened stick
រឡិងរឡង់,"[rɔləŋ - rɔlɑŋ] <br>1). adv with eyes opened wide in bewilderment
ច្រមុះកោង,"[crɑmoh kaoŋ] [[ច្រមុះ]] [[កោង]] <br>1). Roman nose "
ហេងហាង,"[heɛŋ haaŋ] [[ហេង]] [[ហាង]] <br>1a). to be very hot. <br>1b). to be lonely
សទ្ទន័យ,"[satteaʔ ney] [[សទ្ទ]] [[ន័យ]] <br>1). etymology "
ទំនៀមទំលាប់ច្បាប់អន្តរជាតិ,"[tumniəm ------ cbap ʔɑntaʔraʔ~ʔɑndɑɑ ciet] [[ទំនៀមទំលាប់]] [[ច្បាប់]] [[អន្តរជាតិ]] <br>1). international law and practice "
ពិជិតរាស្ត្រ,"<br>1). See: ពិជិតរដ្ឋ "
នគរខ្មែរ,"[nɔkɔɔ kmae] [[នគរ]] [[ខ្មែរ]] <br>1). the Khmer kingdom / state "
សេចក្តីគួរសម,"[sackdǝy kuə sɑɑ mɔɔ] [[សេចក្តី]] [[គួរសម]] <br>1). courtesy
ននៀលក្រាញ,"[nɔniəl kraaɲ] [[ននៀល]] [[ក្រាញ]] <br>1a). to lie on the ground and thrash about. <br>1b). to keep on asking for something
សេចក្តីយកពត៌មាន,"[sackdǝy yɔɔ kɑɑ poadɑɑmien] [[សេចក្តី]] [[យក]] [[ពត៌មាន]] <br>1). reporting "
សាងចិត្ត,"[saaŋ cət] [[សាង]] [[ចិត្ត]] <br>1). to cleanse / purify the mind
ឈប់បុណ្យ,"[cʰup bon] [[ឈប់]] [[បុណ្យ]] <br>1). to have a holiday;<br> to stop work because of a holiday "
ចំពាក់គុណ,"[cɑmpeak kun] [[ចំពាក់]] [[គុណ]] <br>1). to be indebted
ចាប់កាវ,"[cap kaav] [[ចាប់]] [[កាវ]] <br>1). two small wooden posts at opposite ends of the warping frame to which the ends of the warp are attached "
សំណែនខ្មោច,"[sɑmnaen kmaoc] [[សំណែន]] [[ខ្មោច]] <br>1). offering (of food) to a spirit "
ដើមហេតុ,"[daəm haet] [[ដើម]] [[ហេតុ]] <br>1). main / original cause
ភាន់ដំណើរ,"[pʰoan dɑmnaə] [[ភាន់]] [[ដំណើរ]] <br>1). to mislead "
ខ្ជែង,"[kcɛɛŋ] <br>1). v to move / slide apart "
គិតពិចារណា,"[kit~kɨt piʔcaaraʔnaa~piʔcaarənaa] [[គិត]] [[ពិចារណា]] <br>1). to consider
រ៉ុយ,"[roy] <br>1). adv darting here and there
ឈមមុខប្រឆាំងនឹង,"[cʰɔɔm muk prɑcʰaŋ nɨŋ] [[ឈមមុខ]] [[ប្រឆាំង]] [[នឹង]] <br>1). to resist
មេផ្ដាច់ការ,"[mee pdac kaa] [[មេ]] [[ផ្ដាច់ការ]] <br>1). dictator "
សិក្សាភិរក្សវិទ្យាល័យ,"[sǝksaa ------ vittyielay] [[សិក្សា]] [[Iអភិរក្ស]] [[វិទ្យាល័យ]] <br>1). principal of a school (lyce) "
កក៌ដ,"[kaʔreaʔkat] <br>1). See: កក្កដ "
ចូលគំនិត,"[ក្នុង
រ៉ុល,"[rol] <br>1). i sound of something struggling to escape;<br> sound of something turning or rolling "
ទារបំណុល,"[tie bɑmnol] [[ទារ]] [[បំណុល]] <br>1). to demand payment of a debt "
លោហៈ,"[louhaʔ] <br>1). n metal "
កៅអីវិល,"[kav ʔəy vɨl] [[កៅអី]] [[វិល]] <br>1). rotating chair
ចុះពីផ្ទះ,"[coh pii pteah] [[ចុះ]] [[ពី]] [[ផ្ទះ]] <br>1). to step down from a house;<br> to abandon a house "
សំបុត្រឡាន,"[sɑmbot laan] [[សំបុត្រ]] [[ឡាន]] <br>1). car registration "
បំពាក់បំព័ន្ធ,"[bɑmpeak ------ ] [[បំពាក់]] [[បំព័ន្ឋ]] <br>1). See: បំពាក់បំពាន់ See: បំពាក់បំប៉ន "
ត្រង់ណា,"[trɑŋ naa] [[ត្រង់]] [[ណា]] <br>1). where
ប្រោសប្រណី,"[prɑh prɑnəy] [[ប្រោស]] [[ប្រណី]] <br>1). to look after
ដាក់មេប្រូចបាត់,"[dak mee prooc bat] [[ដាក់]] [[មេ]] [[ប្រូច]] [[បាត់]] <br>1). to flee
មុខងប់,"[muk ŋup] [[មុខ]] [[ងប់]] <br>1). to be stubborn
រសហាង,"[rʊəh haaŋ] [[រស]] [[ហាង]] <br>1). hot / peppery taste "
អ្នកម៉ៅការ,"[neak mav kaa] [[អ្នក]] [[ម៉ៅការ]] <br>1). contractor "
អាហរណកម្ម,"[ʔaa haa rɔɔ nɑɑ kam~kammeaʔ or kammaʔ] [[អា]] [[ហ]] [[រណកម្ម]] <br>1). importation "
និបាត,"[niʔbaat] <br>1). n stories about the previous lives of the Buddha <br>2). See: និបាតសព្ទ "
ដំបេរលួយ,"[dɑmbav rɔluəy] [[ដំបេ]] [[រលួយ]] <br>1). gangrene "
សិន្ធព,"[sentʰup] <br>1). n Sindh horse "
ប្រថុយឲ្យ,"[prɑtʰoy ʔaoy] [[ប្រថុយ]] [[ឲ្យ]] <br>1). to risk (good or bad consequences) by giving something (esp. a child in marriage or a loan) "
បដិទិន,"[paʔdeʔtɨn] <br>1). adv everyday
សំបកការទុស្ស,"[sɑmbɑɑk kaatuh] [[សំបក]] [[ការទុស្ស]] <br>1). empty cartridge case
ទំពាំងស្នងឫស្សី,"[tumpeaŋ snɑɑŋ rɨhsǝy] [[ទំពាំង]] [[ស្នង]] [[ឫស្សី]] <br>1a). lit. the bamboo shoot replaces the bamboo. <br>1b). the son succeeds to father or the student replaces the teacher;<br> replacements (following in someone's footsteps) ... ចំពោះសិស្សឬនិស្សិតដែលជាទំពាំងស្នង ឫស្សីរបស់ប្រទេសជាតិ...ចៀនចរេនិនង the students who are the nation's replacements .... "
កំណល់គ្រូ,"[kɑmnɑl kruu] [[កំណល់]] [[គ្រូ]] <br>1). See: កំណល់ (2) "
មូលនាម,"[muul niem] [[មូល]] [[នាម]] <br>1). original name
ពណ៌ធ្លះ,"[poa tleah] [[ពណ៌]] [[ធ្លះ]] <br>1). blue-gray "
តេន្យា,"<br>1). See: តេនញ៉ា "
រមៀតសំឡ,"[rɔmiət sɑmlɑɑ] [[រមៀត]] [[សំឡ]] <br>1). kind of light yellow turmeric used for cooking "
ទិវាចងកំហឹង,"[tiʔvie cɑɑŋ kɑmhəŋ] [[ទិវា]] [[ចងកំហឹង]] <br>1). Day of Hatred (against the KR for their genocide crimes) "
